Reactions of gene	Accession-2
THIOREDOXIN-REDUCT-NADPH-RXN	CBE89_01175
LYSINE--TRNA-LIGASE-RXN	CBE89_02780
	CBE89_09030
TRANS-RXN27OU-4	CBE89_05440
	CBE89_09410
	CBE89_05035
	CBE89_00275
TRANS-RXN27OU-19	CBE89_02635
	CBE89_09865
IMIDPHOSDEHYD-RXN	CBE89_05305
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	CBE89_11390
3.2.1.52-RXN // RXN0-5226 // RXN-12626 // RXN-18082 // RXN-21432 // RXN-12625	CBE89_10005
	CBE89_05980
	CBE89_03630
	CBE89_03705
	CBE89_11955
	CBE89_12230
RXN0-4522 // RXN27OU-1 // RXN27OU-6	CBE89_06695
METHENYLTHFCYCLOHYDRO-RXN // METHYLENETHFDEHYDROG-NADP-RXN	CBE89_11110
	CBE89_00080
TRANS-RXN27OU-1 // TRANS-RXN27OU-9	CBE89_08635
2-ISOPROPYLMALATESYN-RXN	CBE89_12860
	CBE89_01890
	CBE89_06880
	CBE89_07280
	CBE89_00745
	CBE89_08695
TRANS-RXN27OU-19 // TRANS-RXN27OU-13	CBE89_13215
PRTRANS-RXN	CBE89_01275
RXN1G-4	CBE89_03135
	CBE89_05375
	CBE89_13025
	CBE89_02170
	CBE89_09530
RXN-21068	CBE89_01910
	CBE89_04330
	CBE89_01495
	CBE89_10300
	CBE89_13220
	CBE89_02215
	CBE89_03795
	CBE89_08905
CYTOCHROME-C-OXIDASE-RXN // RXN-21237 // RXN1YI0-22	CBE89_03355
KETOACYLCOATHIOL-RXN // ACETYL-COA-ACETYLTRANSFER-RXN // RXN-20155 // RXN-20154 // RXN-12565 // RXN-17782 // RXN-14394 // RXN-17778 // RXN-14274 // RXN-14277 // RXN-13617	CBE89_01605
RXN0-5131	CBE89_04580
TRANS-RXN-137 // TRANS-RXN27OU-10 // TRANS-RXN0-470 // TRANS-RXN27OU-23 // TRANS-RXN0-551 // TRANS-RXN27OU-7 // TRANS-RXN0-498 // TRANS-RXN27OU-17 // TRANS-RXN27OU-8	CBE89_00545
RXN0-5021	CBE89_04435
CARBPSYN-RXN // RXN-13202 // RXN-16909 // RXN-16910 // RXN-14196 // GLUTAMIN-RXN	CBE89_07615
	CBE89_01110
	CBE89_10620
	CBE89_08420
2.5.1.64-RXN	CBE89_11865
	CBE89_05845
	CBE89_06905
	CBE89_05520
	CBE89_00340
	CBE89_09315
	CBE89_07605
	CBE89_11445
	CBE89_11595
	CBE89_03940
RXN0-5131	CBE89_03690
	CBE89_05825
	CBE89_06125
	CBE89_00085
	CBE89_08080
	CBE89_12275
	CBE89_05715
HOMOSERKIN-RXN	CBE89_08305
	CBE89_11895
	CBE89_10070
	CBE89_04075
	CBE89_02440
	CBE89_00395
	CBE89_13270
	CBE89_12000
FGAMSYN-RXN	CBE89_03050
	CBE89_04225
INORGPYROPHOSPHAT-RXN // RXN0-1603 // RXN0-1602 // RXN0-6382	CBE89_03420
	CBE89_11295
	CBE89_07385
URACIL-PRIBOSYLTRANS-RXN	CBE89_13195
	CBE89_06950
	CBE89_08530
	CBE89_00785
	CBE89_11135
ACSERLY-RXN // RXN-12726	CBE89_03230
	CBE89_02430
	CBE89_01855
UDP-NACMURALGLDAPLIG-RXN	CBE89_05070
TRANS-RXN27OU-21 // TRANS-RXN27OU-20	CBE89_02915
	CBE89_08345
	CBE89_11995
AMPSYN-RXN // AICARSYN-RXN	CBE89_03030
	CBE89_12725
	CBE89_00665
TRANS-RXN0-498	CBE89_03275
	CBE89_04265
	CBE89_11640
	CBE89_09700
	CBE89_10490
	CBE89_06625
	CBE89_09615
	CBE89_00755
	CBE89_13275
	CBE89_12495
	CBE89_04390
RXN-16659	CBE89_05065
	CBE89_04930
	CBE89_08360
	CBE89_07690
RXN0-5462	CBE89_05985
RXN-17155	CBE89_04665
	CBE89_07035
	CBE89_02125
	CBE89_10870
PROPIONYL-COA-CARBOXY-RXN	CBE89_10765
	CBE89_04385
	CBE89_07895
	CBE89_06530
	CBE89_03395
	CBE89_03700
SULFATE-ADENYLYLTRANS-RXN // RXN-12720	CBE89_02320
	CBE89_01225
3.1.26.4-RXN	CBE89_05585
	CBE89_08480
	CBE89_02655
	CBE89_01010
	CBE89_08010
ACETATEKIN-RXN // PROPKIN-RXN	CBE89_02515
	CBE89_11785
TRANS-RXN27OU-16 // TRANS-RXN-399	CBE89_01670
	CBE89_00790
	CBE89_07150
	CBE89_07325
	CBE89_04145
	CBE89_04020
	CBE89_08730
RXN0-1061	CBE89_02640
	CBE89_04740
	CBE89_13230
	CBE89_06250
	CBE89_10365
	CBE89_09720
	CBE89_01990
DNA-DIRECTED-RNA-POLYMERASE-RXN	CBE89_11775
	CBE89_01660
	CBE89_09395
	CBE89_03885
	CBE89_06505
	CBE89_00200
	CBE89_10930
ISOLEUCINE--TRNA-LIGASE-RXN	CBE89_05145
	CBE89_09975
	CBE89_12210
	CBE89_10210
	CBE89_05850
	CBE89_04190
	CBE89_10305
GLURS-RXN	CBE89_07780
3.8.1.11-RXN // RXN-6263 // RXN-6264 // 2-HALOACID-DEHALOGENASE-RXN	CBE89_00985
	CBE89_01345
GCVMULTI-RXN // GCVT-RXN // RXN-8629 // GCVP-RXN	CBE89_04895
RIBOFLAVINSYNREDUC-RXN // RXN-10058 // RIBOFLAVINSYNDEAM-RXN	CBE89_07555
	CBE89_01745
	CBE89_10675
	CBE89_00100
	CBE89_03650
	CBE89_05720
	CBE89_12805
ACYLCOASYN-RXN // RXN-9644 // RXN-16380 // RXN-7904	CBE89_12160
RXN-14014	CBE89_05830
	CBE89_03970
	CBE89_04185
	CBE89_03175
	CBE89_07515
	CBE89_11925
	CBE89_09930
	CBE89_11505
GLUTCYSLIG-RXN // RXN-20400 // RXN-20406	CBE89_02590
	CBE89_12990
	CBE89_03055
	CBE89_10625
OHMETHYLBILANESYN-RXN // RXN-21526 // RXN-21527 // RXN-21523 // RXN-21524 // RXN-21525	CBE89_12070
	CBE89_04065
	CBE89_10665
RXN-7904 // ACYLCOASYN-RXN // RXN-9644 // RXN-16380	CBE89_04295
	CBE89_00795
	CBE89_11675
	CBE89_01815
RXN0-5021	CBE89_08535
	CBE89_02385
	CBE89_07815
	CBE89_11140
GLUTKIN-RXN	CBE89_04050
	CBE89_12945
	CBE89_11750
3.1.11.6-RXN	CBE89_08875
	CBE89_02925
	CBE89_11215
SAICARSYN-RXN	CBE89_03035
	CBE89_06180
RXN-10994 // RXN-15889 // HOLO-ACP-SYNTH-RXN // RXN-19477 // ENTDB-RXN // RXN-19493 // RXN-16759 // RXN-10674	CBE89_03505
	CBE89_04630
	CBE89_08390
	CBE89_03540
RXN0-5462	CBE89_06970
	CBE89_00670
	CBE89_11670
	CBE89_03185
	CBE89_09100
RXN-14261 // RXN-9023 // RXN-12391 // RXN-12193 // RXN-14260 // AMYLOMALT-RXN // RXN-1828 // RXN-19947 // RXN-14354	CBE89_04290
	CBE89_02785
	CBE89_10500
	CBE89_06630
	CBE89_06440
	CBE89_00760
TRANS-RXN27OU-4	CBE89_05445
RXN-18399 // RXN-18428 // RXN-18430	CBE89_07455
	CBE89_08975
	CBE89_05485
RXN0-12 // RXN0-14 // TRANS-RXN-141 // TRANS-RXN-141A // TRANS-RXN27OU-2	CBE89_03680
	CBE89_00280
RXN0-5131	CBE89_09870
	CBE89_06130
	CBE89_09230
	CBE89_11075
	CBE89_08385
	CBE89_05990
	CBE89_07120
	CBE89_09095
	CBE89_09695
	CBE89_07445
PROTEIN-TYROSINE-PHOSPHATASE-RXN	CBE89_02075
RXN0-4522 // RXN27OU-1 // RXN27OU-6	CBE89_06700
DXS-RXN	CBE89_06345
	CBE89_13235
RXN-11860 // RXN-11865	CBE89_11115
	CBE89_12865
	CBE89_05325
	CBE89_04705
	CBE89_12655
	CBE89_09290
RXN-14047 // ACONITATEDEHYDR-RXN // ACONITATEHYDR-RXN	CBE89_07350
	CBE89_10830
	CBE89_02660
	CBE89_07970
	CBE89_05380
RXN27OU-7	CBE89_03140
	CBE89_04795
	CBE89_07345
	CBE89_01500
	CBE89_03305
	CBE89_02645
TRANS-RXN27OU-1 // TRANS-RXN27OU-9	CBE89_10370
RXN0-5114 // PSERPHOSPHA-RXN	CBE89_03360
	CBE89_05235
	CBE89_01610
	CBE89_09580
	CBE89_02045
	CBE89_00550
	CBE89_09430
	CBE89_08930
CARBPSYN-RXN // RXN-13202 // RXN-16909 // RXN-16910 // RXN-14196 // GLUTAMIN-RXN	CBE89_07620
	CBE89_09040
	CBE89_06410
SIROHEME-FERROCHELAT-RXN	CBE89_10215
	CBE89_05855
	CBE89_09705
	CBE89_10310
	CBE89_11450
	CBE89_12550
	CBE89_10810
	CBE89_04910
	CBE89_04040
	CBE89_13240
OROTPDECARB-RXN	CBE89_07610
	CBE89_05725
	CBE89_07935
	CBE89_01305
RXN-8850	CBE89_05835
	CBE89_02445
MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN // RXN0-5408 // RXN-7253	CBE89_06310
OHMETPYRKIN-RXN // PYRIMSYN3-RXN	CBE89_07095
	CBE89_00400
	CBE89_13295
5.99.1.2-RXN	CBE89_12590
	CBE89_03060
	CBE89_06995
	CBE89_00800
	CBE89_11145
	CBE89_02435
	CBE89_12515
	CBE89_04365
	CBE89_02025
	CBE89_02930
	CBE89_03040
	CBE89_09020
	CBE89_03995
	CBE89_00675
TRANS-RXN-125	CBE89_03280
	CBE89_05110
	CBE89_09145
	CBE89_09285
	CBE89_08460
	CBE89_06990
	CBE89_12685
GLUCONOKIN-RXN	CBE89_10505
ALANINE--TRNA-LIGASE-RXN	CBE89_06635
	CBE89_00765
	CBE89_03660
	CBE89_12510
	CBE89_03840
	CBE89_05220
RXN0-2584	CBE89_07695
	CBE89_09645
	CBE89_06585
	CBE89_03270
	CBE89_05995
	CBE89_06275
	CBE89_01135
	CBE89_06890
PROPIONYL-COA-CARBOXY-RXN	CBE89_10770
	CBE89_07900
2.7.9.3-RXN	CBE89_08750
3.1.26.4-RXN // RXN-8748 // ACID-PHOSPHATASE-RXN	CBE89_04715
RXN0-5131	CBE89_12180
RXN-19145	CBE89_09640
	CBE89_07420
	CBE89_02665
	CBE89_12050
	CBE89_13285
	CBE89_02520
	CBE89_11790
RXN-8568	CBE89_01675
	CBE89_11275
	CBE89_08840
RXN-9952	CBE89_07075
RXN0-2621	CBE89_11335
3.6.3.3-RXN	CBE89_00805
	CBE89_01985
	CBE89_09475
	CBE89_12175
DTDPKIN-RXN // GDPKIN-RXN // DCDPKIN-RXN // DUDPKIN-RXN // UDPKIN-RXN // DGDPKIN-RXN // CDPKIN-RXN // DADPKIN-RXN	CBE89_03990
	CBE89_11030
SUCCSEMIALDDEHYDROG-RXN // SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // RXN0-5293	CBE89_10375
	CBE89_11715
	CBE89_08110
	CBE89_11780
TRANS-RXN27OU-15	CBE89_01665
	CBE89_12565
SUCCSEMIALDDEHYDROG-RXN	CBE89_08835
CYTOCHROME-C-OXIDASE-RXN // RXN-21237	CBE89_04950
	CBE89_00205
	CBE89_09775
	CBE89_00770
	CBE89_09515
	CBE89_01215
	CBE89_03210
	CBE89_09800
	CBE89_10220
	CBE89_05860
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	CBE89_10315
	CBE89_05175
	CBE89_07785
	CBE89_06765
RXN-16707	CBE89_07190
	CBE89_04760
	CBE89_01245
	CBE89_09450
	CBE89_04015
RIBULP3EPIM-RXN	CBE89_07560
	CBE89_12620
	CBE89_01750
	CBE89_00105
AIRCARBOXY-RXN // RXN0-743	CBE89_10680
PROLINE--TRNA-LIGASE-RXN	CBE89_05730
DIHYDRODIPICSYN-RXN	CBE89_05840
ISOCHORSYN-RXN	CBE89_07825
	CBE89_06400
	CBE89_05170
	CBE89_04770
PYRUVFORMLY-RXN // KETOBUTFORMLY-RXN	CBE89_03445
	CBE89_02595
	CBE89_09935
RXN-16665 // RXN-16660	CBE89_11510
	CBE89_13290
PROTEIN-KINASE-RXN	CBE89_09445
	CBE89_03065
3.1.26.4-RXN	CBE89_10630
	CBE89_12615
	CBE89_12780
	CBE89_10670
3.1.1.73-RXN	CBE89_07820
3.6.3.3-RXN	CBE89_01820
RXN0-6948 // N-ACETYLTRANSFER-RXN // GLUTAMATE-N-ACETYLTRANSFERASE-RXN	CBE89_06835
	CBE89_00810
	CBE89_02390
	CBE89_05000
	CBE89_03715
	CBE89_11150
	CBE89_12950
	CBE89_02935
	CBE89_11220
	CBE89_00440
	CBE89_03045
	CBE89_06185
	CBE89_01090
	CBE89_07765
	CBE89_01180
	CBE89_12470
	CBE89_02790
	CBE89_10510
3.1.22.4-RXN	CBE89_06640
	CBE89_13250
	CBE89_00775
TRANS-RXN27OU-4	CBE89_05450
NQOR-RXN // RXN0-5330 // RXN1YI0-16	CBE89_07460
	CBE89_05040
RXN-8348	CBE89_00285
	CBE89_06135
	CBE89_11395
	CBE89_10010
	CBE89_06175
	CBE89_06000
1.10.2.2-RXN // RXN-21454 // RXN-18584 // RXN-15829	CBE89_04965
	CBE89_11960
	CBE89_07450
	CBE89_09120
	CBE89_07020
	CBE89_09320
	CBE89_06705
PEPDEPHOS-RXN // RXN-14192 // RXN-14117 // RXN-14207	CBE89_11120
	CBE89_12870
	CBE89_04570
	CBE89_09745
	CBE89_12125
	CBE89_02670
GLUTDEHYD-RXN	CBE89_05385
	CBE89_13035
	CBE89_04465
	CBE89_08700
RXN-11637	CBE89_09310
	CBE89_08910
	CBE89_01505
RXN-11598	CBE89_04335
RXN-8340	CBE89_08220
RXN-20670 // POLYPHOSPHATE-KINASE-RXN	CBE89_02650
THYMIDYLATESYN-RXN	CBE89_09540
	CBE89_06610
	CBE89_02220
GABATRANSAM-RXN	CBE89_10380
	CBE89_03805
	CBE89_03365
RXN0-2042	CBE89_01615
	CBE89_08665
	CBE89_04590
	CBE89_00780
AMP-NUCLEOSID-RXN	CBE89_00555
	CBE89_04440
RXN-20927 // DNA-DIRECTED-DNA-POLYMERASE-RXN	CBE89_01115
DIHYDROOROT-RXN	CBE89_07625
IMIDAZOLONEPROPIONASE-RXN	CBE89_08425
325-BISPHOSPHATE-NUCLEOTIDASE-RXN	CBE89_09535
	CBE89_12740
	CBE89_05865
	CBE89_10225
NAD-KIN-RXN	CBE89_06910
	CBE89_05525
	CBE89_12280
	CBE89_11455
	CBE89_03800
RXN-20670 // POLYPHOSPHATE-KINASE-RXN	CBE89_09125
	CBE89_09380
	CBE89_04585
	CBE89_03740
	CBE89_00955
RXN-15513 // RXN-15509 // RXN-15510 // RXN-15511 // RXN-15512	CBE89_12130
	CBE89_00110
	CBE89_08085
	CBE89_01035
	CBE89_05735
	CBE89_11010
	CBE89_08540
ABC-63-RXN	CBE89_11900
	CBE89_10075
OROPRIBTRANS-RXN	CBE89_02450
	CBE89_01860
	CBE89_00405
	CBE89_13300
	CBE89_12005
ACETYL-COA-ACETYLTRANSFER-RXN // RXN-20154 // RXN-20155 // RXN-12565	CBE89_03070
	CBE89_04230
	CBE89_11300
	CBE89_07390
	CBE89_03235
	CBE89_06955
	CBE89_00815
	CBE89_11155
	CBE89_09325
ATPSYN-RXN	CBE89_08170
	CBE89_02940
UDP-NACMURALGLDAPAALIG-RXN // 6.3.2.10-RXN	CBE89_05075
	CBE89_07040
	CBE89_00445
	CBE89_00680
	CBE89_09620
PHOSPHOGLUCMUT-RXN // RXN-16997 // RXN-16998	CBE89_03285
	CBE89_04270
	CBE89_11645
	CBE89_10515
ISOCITDEH-RXN // RXN-9951 // RXN-8642	CBE89_10980
RXN66-546 // PYRROLINECARBREDUCT-RXN	CBE89_12100
RXN-17393 // RXN0-5190 // RXN-17391 // RXN-17392	CBE89_06645
GLYCINE--TRNA-LIGASE-RXN	CBE89_04395
RXN-9985 // 3.2.1.48-RXN	CBE89_08595
	CBE89_09740
	CBE89_04195
	CBE89_10950
	CBE89_08365
THI-P-KIN-RXN	CBE89_07700
	CBE89_06005
	CBE89_01875
	CBE89_10775
	CBE89_04090
	CBE89_07905
	CBE89_06535
	CBE89_03400
	CBE89_09215
XANTHOSINEPHOSPHORY-RXN	CBE89_02325
	CBE89_05590
	CBE89_07160
TRANS-RXN27OU-6	CBE89_07230
	CBE89_02675
	CBE89_06805
	CBE89_02525
	CBE89_11795
	CBE89_01680
	CBE89_01755
	CBE89_06255
	CBE89_12090
	CBE89_10385
	CBE89_13310
	CBE89_05150
	CBE89_01995
RIBONUCLEOSIDE-DIP-REDUCTI-RXN // GDPREDUCT-RXN // RXN0-722 // UDPREDUCT-RXN // ADPREDUCT-RXN // RXN0-747 // RIBONUCLEOSIDE-DIP-REDUCTII-RXN // RXN0-748 // CDPREDUCT-RXN	CBE89_03890
	CBE89_04000
	CBE89_12785
	CBE89_06510
	CBE89_00210
	CBE89_05290
TRIACYLGLYCEROL-LIPASE-RXN // RXN-12579 // RXN-12086 // RXN-21399	CBE89_00560
	CBE89_02110
	CBE89_10230
	CBE89_10635
	CBE89_07790
	CBE89_06770
RXN-9365 // RXN-9204 // RXN-9217 // RXN-9359 // RXN-9360 // RXN-11047 // RXN-19668 // RXN-9190 // RXN-9358 // DMK-RXN	CBE89_11930
RXN-12730 // HOMOCYSMET-RXN	CBE89_00990
	CBE89_01350
FORMATETHFLIG-RXN	CBE89_07225
	CBE89_01385
RXN-11633	CBE89_09270
	CBE89_07565
	CBE89_07520
	CBE89_07290
	CBE89_05740
	CBE89_00120
RXN0-742	CBE89_10685
	CBE89_07830
	CBE89_03215
RXN0-1147 // RXN-7774	CBE89_08550
TRANS-RXN27OU-4	CBE89_02600
	CBE89_09940
RXN-17874 // RXN-17877 // 3.4.11.18-RXN // RXN-17873 // RXN-17876 // RXN-17875 // RXN-17878	CBE89_11515
	CBE89_02795
	CBE89_12995
	CBE89_03075
	CBE89_12750
	CBE89_01310
	CBE89_06140
	CBE89_04300
	CBE89_02395
	CBE89_01825
	CBE89_00820
	CBE89_11680
	CBE89_11160
RXN-21036	CBE89_11755
	CBE89_12955
	CBE89_11050
	CBE89_02945
3.1.11.6-RXN	CBE89_08880
	CBE89_09295
	CBE89_11225
RXN0-7230 // CHD-RXN	CBE89_00450
	CBE89_08780
RXN-8348	CBE89_09345
	CBE89_06190
	CBE89_03510
DAPASYN-RXN	CBE89_00685
	CBE89_03545
	CBE89_08395
ALKAPHOSPHA-RXN // RXN-8748	CBE89_01510
	CBE89_10520
SHIKIMATE-5-DEHYDROGENASE-RXN	CBE89_06650
RXN-18608 // RXN-18609	CBE89_06445
TRANS-RXN27OU-4	CBE89_05455
HEMEOSYN-RXN	CBE89_07465
RXN-14640	CBE89_08980
	CBE89_05490
NITRATE-REDUCTASE-NADH-RXN // NITRATE-REDUCTASE-NADPORNOPH-RXN // NITRATE-REDUCTASE-NADPH-RXN // RXN-11236 // RXN0-6369 // RXN0-3501 // RXN-16471 // RXN0-7124 // 1.7.7.2-RXN // NITRATE-REDUCTASE-CYTOCHROME-RXN	CBE89_08255
RXN0-4961 // DNA-DIRECTED-DNA-POLYMERASE-RXN	CBE89_05255
	CBE89_09875
	CBE89_06465
	CBE89_12555
ATPSYN-RXN	CBE89_08180
NITRATE-REDUCTASE-NADH-RXN // NITRATE-REDUCTASE-NADPORNOPH-RXN // NITRATE-REDUCTASE-NADPH-RXN // RXN-11236 // RXN0-6369 // RXN0-3501 // RXN-16471 // RXN0-7124 // 1.7.7.2-RXN // NITRATE-REDUCTASE-CYTOCHROME-RXN	CBE89_08265
	CBE89_04850
2.7.3.9-RXN // RXN-17354 // RXN-17355	CBE89_06010
	CBE89_06710
DNA-DIRECTED-DNA-POLYMERASE-RXN // RXN0-4961	CBE89_12875
	CBE89_04855
	CBE89_07355
	CBE89_10835
	CBE89_05265
CYTIDEAM-RXN // CYTIDEAM2-RXN	CBE89_13040
	CBE89_02680
	CBE89_02800
	CBE89_03465
6.3.5.7-RXN // RXN-20082 // RXN-20083 // 6.3.5.6-RXN // RXN-20080 // RXN-20081 // GLUTAMIN-RXN	CBE89_07975
	CBE89_05390
RXN27OU-7	CBE89_03145
	CBE89_13185
RXN0-2042	CBE89_01620
