ids,growth,status,name,reaction
lcl_CP068157_1_prot_QQU79188_1_2076,2.1026611664075644e-13,optimal,nucleoside-diphosphate kinase [Corynebacterium striatum],R_NDPK3
lcl_CP068157_1_prot_QQU79188_1_2076,2.1026611664075644e-13,optimal,nucleoside-diphosphate kinase [Corynebacterium striatum],R_NDPK4
lcl_CP068157_1_prot_QQU79188_1_2076,2.1026611664075644e-13,optimal,nucleoside-diphosphate kinase [Corynebacterium striatum],R_NDPK5
lcl_CP068157_1_prot_QQU79188_1_2076,2.1026611664075644e-13,optimal,nucleoside-diphosphate kinase [Corynebacterium striatum],R_NDPK6
lcl_CP068157_1_prot_QQU79188_1_2076,2.1026611664075644e-13,optimal,nucleoside-diphosphate kinase [Corynebacterium striatum],R_NDPK7
lcl_CP068157_1_prot_QQU79188_1_2076,2.1026611664075644e-13,optimal,nucleoside-diphosphate kinase [Corynebacterium striatum],R_NDPK8
lcl_CP068157_1_prot_QQU80425_1_1051,-1.4265519885491782e-14,optimal,phosphoglucosamine mutase [Corynebacterium striatum],R_ACGAMPM
lcl_CP068157_1_prot_QQU80425_1_1051,-1.4265519885491782e-14,optimal,phosphoglucosamine mutase [Corynebacterium striatum],R_PGAMT
lcl_CP068157_1_prot_QQU79356_1_2260,-9.550822079939922e-15,optimal,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase [Corynebacterium striatum],R_UAGPT2
lcl_CP068157_1_prot_QQU79356_1_2260,-9.550822079939922e-15,optimal,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase [Corynebacterium striatum],R_UAGPT3
lcl_CP068157_1_prot_QQU80366_1_980,-9.32203509367112e-11,optimal,pyridoxal 5'-phosphate synthase glutaminase subunit PdxT [Corynebacterium striatum],R_PLPS
lcl_CP068157_1_prot_QQU80617_1_277,-2.9467776958084724e-14,optimal,undecaprenyl-diphosphate phosphatase [Corynebacterium striatum],R_UDCPDP
lcl_CP068157_1_prot_QQU80518_1_1154,7.591653888683373e-14,optimal,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase [Corynebacterium striatum],R_OXGDC
lcl_CP068157_1_prot_QQU80518_1_1154,7.591653888683373e-14,optimal,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase [Corynebacterium striatum],R_SEPHCHCS
lcl_CP068157_1_prot_QQU80518_1_1154,7.591653888683373e-14,optimal,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase [Corynebacterium striatum],R_SHCHCS3
lcl_CP068157_1_prot_QQU79797_1_356,3.4635689812233645e-15,optimal,pantetheine-phosphate adenylyltransferase [Corynebacterium striatum],R_PTPATi
lcl_CP068157_1_prot_QQU79344_1_2247,-7.595280441001126e-15,optimal,polyprenyl synthetase family protein [Corynebacterium striatum],R_DMATT
lcl_CP068157_1_prot_QQU79344_1_2247,-7.595280441001126e-15,optimal,polyprenyl synthetase family protein [Corynebacterium striatum],R_FRTT
lcl_CP068157_1_prot_QQU79312_1_2211,4.9107382183142e-14,optimal,CTP synthase [Corynebacterium striatum],R_CTPS1
lcl_CP068157_1_prot_QQU79312_1_2211,4.9107382183142e-14,optimal,CTP synthase [Corynebacterium striatum],R_CTPS2
lcl_CP068157_1_prot_QQU78925_1_1778,-1.1428598964859848e-13,optimal,aldehyde dehydrogenase [Corynebacterium striatum],R_4ABUTD
lcl_CP068157_1_prot_QQU78925_1_1778,-1.1428598964859848e-13,optimal,aldehyde dehydrogenase [Corynebacterium striatum],R_ABUTD
lcl_CP068157_1_prot_QQU78925_1_1778,-1.1428598964859848e-13,optimal,aldehyde dehydrogenase [Corynebacterium striatum],R_ALCD19
lcl_CP068157_1_prot_QQU78925_1_1778,-1.1428598964859848e-13,optimal,aldehyde dehydrogenase [Corynebacterium striatum],R_ALDD19xr
lcl_CP068157_1_prot_QQU78925_1_1778,-1.1428598964859848e-13,optimal,aldehyde dehydrogenase [Corynebacterium striatum],R_ALDD20x
lcl_CP068157_1_prot_QQU78925_1_1778,-1.1428598964859848e-13,optimal,aldehyde dehydrogenase [Corynebacterium striatum],R_ALDD20y
lcl_CP068157_1_prot_QQU78925_1_1778,-1.1428598964859848e-13,optimal,aldehyde dehydrogenase [Corynebacterium striatum],R_ALDD2x
lcl_CP068157_1_prot_QQU78925_1_1778,-1.1428598964859848e-13,optimal,aldehyde dehydrogenase [Corynebacterium striatum],R_ALDD2y
lcl_CP068157_1_prot_QQU78925_1_1778,-1.1428598964859848e-13,optimal,aldehyde dehydrogenase [Corynebacterium striatum],R_ALDD3y
lcl_CP068157_1_prot_QQU78925_1_1778,-1.1428598964859848e-13,optimal,aldehyde dehydrogenase [Corynebacterium striatum],R_GCALDD
lcl_CP068157_1_prot_QQU78925_1_1778,-1.1428598964859848e-13,optimal,aldehyde dehydrogenase [Corynebacterium striatum],R_GLYALDDr
lcl_CP068157_1_prot_QQU78925_1_1778,-1.1428598964859848e-13,optimal,aldehyde dehydrogenase [Corynebacterium striatum],R_LCADi
lcl_CP068157_1_prot_QQU78925_1_1778,-1.1428598964859848e-13,optimal,aldehyde dehydrogenase [Corynebacterium striatum],R_NABTNO
lcl_CP068157_1_prot_QQU80529_1_1166,3.414673086964706e-10,optimal,o-succinylbenzoate--CoA ligase [Corynebacterium striatum],
lcl_CP068157_1_prot_QQU80771_1_2399,6.2681502363970686e-15,optimal,bifunctional riboflavin kinase/FAD synthetase [Corynebacterium striatum],R_FMNAT
lcl_CP068157_1_prot_QQU80771_1_2399,6.2681502363970686e-15,optimal,bifunctional riboflavin kinase/FAD synthetase [Corynebacterium striatum],R_RBFK
lcl_CP068157_1_prot_QQU80080_1_667,1.480737857137405e-14,optimal,HAD family hydrolase [Corynebacterium striatum],R_ACP1_FMN
lcl_CP068157_1_prot_QQU80080_1_667,1.480737857137405e-14,optimal,HAD family hydrolase [Corynebacterium striatum],R_PMDPHT
lcl_CP068157_1_prot_QQU79206_1_2094,-5.7800662975907775e-11,optimal,nicotinate-nucleotide adenylyltransferase [Corynebacterium striatum],R_NMNAT
lcl_CP068157_1_prot_QQU79206_1_2094,-5.7800662975907775e-11,optimal,nicotinate-nucleotide adenylyltransferase [Corynebacterium striatum],R_NNATr
lcl_CP068157_1_prot_QQU79258_1_2151,4.602603930159994e-14,optimal,isoprenyl transferase [Corynebacterium striatum],R_IPDPUDCT
lcl_CP068157_1_prot_QQU79258_1_2151,4.602603930159994e-14,optimal,isoprenyl transferase [Corynebacterium striatum],R_UDPDPS
lcl_CP068157_1_prot_QQU79258_1_2151,4.602603930159994e-14,optimal,isoprenyl transferase [Corynebacterium striatum],R_UDPDPS2
lcl_CP068157_1_prot_QQU79512_1_28,-4.003373145243356e-14,optimal,diaminopimelate epimerase [Corynebacterium striatum],R_DAPE
lcl_CP068157_1_prot_QQU79451_1_2367,2.442818843816227e-15,optimal,UMP kinase [Corynebacterium striatum],
lcl_CP068157_1_prot_QQU80209_1_808,8.777505740665093e-10,optimal,3-phosphoshikimate 1-carboxyvinyltransferase [Corynebacterium striatum],R_PSCVT
lcl_CP068157_1_prot_QQU79824_1_384,8.307937159546761e-10,optimal,isochorismate synthase [Corynebacterium striatum],R_ICHORS
lcl_CP068157_1_prot_QQU80530_1_1168,-4.188428335842451e-15,optimal,"1,4-dihydroxy-2-naphthoate polyprenyltransferase [Corynebacterium striatum]",R_DHNAOT
lcl_CP068157_1_prot_QQU79971_1_539,1.4750818293011635e-15,optimal,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [Corynebacterium striatum]",R_THDPS
lcl_CP068157_1_prot_QQU80086_1_674,9.757353760154185e-13,optimal,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [Corynebacterium striatum],R_CDPMEK
lcl_CP068157_1_prot_QQU78990_1_1848,-1.134848121691818e-14,optimal,GTP cyclohydrolase I FolE [Corynebacterium striatum],R_GTPCI
lcl_CP068157_1_prot_QQU80047_1_630,-1.5740706641991775e-13,optimal,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU [Corynebacterium striatum],R_UAGDP
